filename,site,day,month,year,date
20230527_071000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_072000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_073000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_074000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_075000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_080000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_081000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_082000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_083000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_084000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_085000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_090000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_091000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_092000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_093000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_094000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_095000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_100000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_101000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_102000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_103000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_104000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_105000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_110000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_111000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_112000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_113000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_114000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_115000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_120000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_121000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_122000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_123000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_124000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_125000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_130000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_131000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_132000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_133000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_134000.WAV,PRIMAVERA,27,5,23,5/27/23
20230527_135000.WAV,PRIMAVERA,27,5,23,5/27/23
